asset_id,asset_type,file_path,dimensions,description,rarity,section_affinity,priority,notes
muffin_portrait,pet_portrait,/assets/art/pets/muffin_portrait.png,512x512,"Cheerful Corgi portrait, happy expression",Common,Bakery,Completed,"Starter pet, warm colors"
muffin_showcase,pet_showcase,/assets/art/pets/muffin_portrait.png,512x512,"Using same image as portrait",Common,Bakery,Completed,"Same as portrait"
buddy_portrait,pet_portrait,/assets/art/pets/buddy_portrait.png,512x512,"Loyal Golden Retriever portrait, friendly",Common,Playground,Completed,"Starter pet, playful look"
buddy_showcase,pet_showcase,/assets/art/pets/buddy_portrait.png,512x512,"Using same image as portrait",Common,Playground,Completed,"Same as portrait"
prince_portrait,pet_portrait,/assets/art/pets/prince_portrait.png,512x512,"Dignified Persian cat portrait, regal",Common,Styling,Completed,"Starter pet, elegant"
prince_showcase,pet_showcase,/assets/art/pets/prince_portrait.png,512x512,"Using same image as portrait",Common,Styling,Completed,"Same as portrait"
peanut_portrait,pet_portrait,/assets/art/pets/peanut_portrait.png,512x512,"Tiny Pomeranian portrait, cute",Common,Bakery,Completed,"Big eyes, fluffy"
peanut_showcase,pet_showcase,/assets/art/pets/peanut_portrait.png,512x512,"Using same image as portrait",Common,Bakery,Completed,"Same as portrait"
patches_portrait,pet_portrait,/assets/art/pets/patches_portrait.png,512x512,"Calico cat portrait, unique markings",Common,Styling,Completed,"Distinctive patterns"
patches_showcase,pet_showcase,/assets/art/pets/patches_portrait.png,512x512,"Using same image as portrait",Common,Styling,Completed,"Same as portrait"
turbo_portrait,pet_portrait,/assets/art/pets/turbo_portrait.png,512x512,"Speedy tortoise portrait, determined",Rare,Playground,Completed,"Unexpected energy"
turbo_showcase,pet_showcase,/assets/art/pets/turbo_portrait.png,512x512,"Using same image as portrait",Rare,Playground,Completed,"Same as portrait"
chip_portrait,pet_portrait,/assets/art/pets/chip_portrait.png,512x512,"Clever hamster portrait, alert",Rare,Bakery,Completed,"Holding ingredients"
chip_showcase,pet_showcase,/assets/art/pets/chip_portrait.png,512x512,"Using same image as portrait",Rare,Bakery,Completed,"Same as portrait"
sunny_portrait,pet_portrait,/assets/art/pets/sunny_portrait.png,512x512,"Bright yellow parakeet portrait",Rare,Playground,Completed,"Musical notes nearby"
sunny_showcase,pet_showcase,/assets/art/pets/sunny_portrait.png,512x512,"Using same image as portrait",Rare,Playground,Completed,"Same as portrait"
whiskers_portrait,pet_portrait,/assets/art/pets/whiskers_portrait.png,512x512,"Elegant ferret portrait, fashionable",Rare,Styling,Completed,"Wearing accessories"
whiskers_showcase,pet_showcase,/assets/art/pets/whiskers_portrait.png,512x512,"Using same image as portrait",Rare,Styling,Completed,"Same as portrait"
luna_portrait,pet_portrait,/assets/art/pets/luna_portrait.png,512x512,"Gentle rabbit portrait, artistic",Rare,Bakery,Completed,"Soft expression"
luna_showcase,pet_showcase,/assets/art/pets/luna_portrait.png,512x512,"Using same image as portrait",Rare,Bakery,Completed,"Same as portrait"
storm_portrait,pet_portrait,/assets/art/pets/storm_portrait.png,512x512,"Graceful chinchilla portrait",Rare,Styling,Completed,"Soft fur texture"
storm_showcase,pet_showcase,/assets/art/pets/storm_portrait.png,512x512,"Using same image as portrait",Rare,Styling,Completed,"Same as portrait"
rue_portrait,pet_portrait,/assets/art/pets/rue_portrait.png,512x512,"Beautiful betta fish portrait",Rare,Styling,Completed,"Color changing effect"
rue_showcase,pet_showcase,/assets/art/pets/rue_portrait.png,512x512,"Using same image as portrait",Rare,Styling,Completed,"Same as portrait"
harmony_portrait,pet_portrait,/assets/art/pets/harmony_portrait.png,512x512,"Wise cockatiel portrait, serene",UltraRare,Bakery,Completed,"Musical/spiritual vibe"
harmony_showcase,pet_showcase,/assets/art/pets/harmony_portrait.png,512x512,"Using same image as portrait",UltraRare,Bakery,Completed,"Same as portrait"
blaze_portrait,pet_portrait,/assets/art/pets/blaze_portrait.png,512x512,"Spirited fox kit portrait, energetic",UltraRare,Playground,Completed,"Wild but friendly"
blaze_showcase,pet_showcase,/assets/art/pets/blaze_portrait.png,512x512,"Using same image as portrait",UltraRare,Playground,Completed,"Same as portrait"
iris_portrait,pet_portrait,/assets/art/pets/iris_portrait.png,512x512,"Magnificent peacock portrait",UltraRare,Styling,Completed,"Feathers displayed"
iris_showcase,pet_showcase,/assets/art/pets/iris_portrait.png,512x512,"Using same image as portrait",UltraRare,Styling,Completed,"Same as portrait"
